raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Colt,240,43,313,90.83738372,1.975910853
Gabriel,239,36,315,88.59443573,2.551467922
Randy Newman,237,44,293,96.77796749,1.098867472
Cookie Kwan,236,50,310,90.91708136,1.7508
Nash Castor,235,32,319,84.54109375,3.29193484
Dr. Kissingher,234,31,326,81.31184864,3.793187207
Evan Conover,234,38,342,76.938583,4.057732794
Lawyer,233,36,327,81.53522234,3.494681688
Stark Richdale,233,32,272,100.6840162,1.024794796
McBain,230,54,317,85.91098229,2.334589372
Mother,229,43,285,96.14132528,1.172566264
Lloyd,228,42,295,91.86447368,1.794686717
Simon Cowell,227,35,285,94.03614097,1.754406545
Ted Nugent,227,20,295,85.37201872,4.171301762
Evelyn,227,30,311,83.24910646,3.527519824
Goose Gladwell,227,43,289,93.77013626,1.491744698
Inspector Wiggum,227,38,290,92.69241537,1.81462671
Johnny Tightlips,227,32,275,97.14585697,1.471716685
Accountant,226,27,318,79.30013602,4.277984267
Agent Johnson,226,42,311,84.95474926,2.746624526
Dj,225,27,300,85.57666667,3.393333333
Bartender,224,48,261,103.5242262,-0.020892857
Boy,224,49,277,97.57803571,0.784821429
LUCIUS,223,23,304,81.66476506,4.277403003
Ewell Freestone,223,10,255,87.46058969,6.600273543
Booth,222,30,304,83.47535135,3.454558559
ZOO OWNER,221,41,277,95.32679837,1.302240371
Announcer #2,221,27,315,77.94332663,4.421226747
Frank Ormand,221,30,312,79.92253922,3.941823529
Radioactive Man,221,47,305,85.30668432,2.528897661
T-Rex,220,31,293,86.95995601,2.893196481
Jenny,219,37,293,87.64099593,2.50559299
Lucas,218,45,293,88.2123843,2.158966361
Jim Jarmusch,218,26,285,87.72369795,3.106605505
Avatar Bart,217,35,257,100.34753,0.803115207
Businessman,217,36,313,78.69007744,3.781109831
Dave Shutton,216,33,286,88.17469697,2.586801347
Sophie,214,37,259,98.57473983,0.946984087
MR. LASSEN,213,39,271,93.65491874,1.55314554
Yutaka,212,34,272,91.96278024,1.981387347
Tom Wolfe,212,35,280,88.95115094,2.357191375
Giuseppe,211,31,282,86.85915303,2.835132243
Gary,210,37,278,89.07990347,2.244465894
Legs,210,42,274,91.37714286,1.756190476
Adult Jenda,210,35,273,90.765,2.09
Antonio,209,34,264,93.7325774,1.712616099
Ranger,209,35,278,88.24385646,2.434550923
Michelle Obama,209,28,264,92.39559211,2.226334586
Kumiko,208,27,289,81.47054843,3.809636752
Box Executive,207,30,273,88.25758696,2.663318841
Stan Lee,206,37,270,90.30042377,2.047370769
Luke,206,26,269,88.32026139,2.908737864
Maya,205,34,258,94.24295194,1.612202296
Adil Hoxha,205,33,277,86.21652624,2.777117517
RITA,204,38,266,91.07428793,1.88995872
Greta Wolfcastle,202,33,258,92.56850435,1.868559856
Apu's Mother,202,28,254,93.13428218,2.061195191
Darcy,202,45,258,94.22531243,1.231953795
Rachel Maddow,202,31,261,90.91122804,2.197824976
Denis Leary,202,27,251,94.11951412,1.990154015
Recruiter #1,201,20,252,90.56857836,3.123529851
Attendant,201,37,250,96.09720048,1.205265564
Ghost Homer,200,48,248,97.70183333,0.667
Tony Hawk,199,34,254,92.91235516,1.753953591
Stacy Lovell,198,30,256,90.75418182,2.240565657
Tom O'Flanagan,198,27,247,93.85530303,1.99020202
Elf Marge,198,31,240,97.80664223,1.203998045
Jack Larson,198,24,277,80.10670455,4.135580808
Girl,197,54,247,97.06004841,0.627701636
Young Krusty,196,31,262,87.32982554,2.649275839
Slava,195,40,259,89.52072115,1.984070513
Park Ranger,194,25,267,82.52457938,3.676606186
P.A. Announcer,194,25,304,66.38952784,5.927121649
Bret,193,17,281,72.13767144,6.01795794
Chett,192,44,236,98.41840909,0.615984848
King,192,25,261,84.036675,3.445825
Deputy Director Gratman,191,22,275,76.21667182,4.785437887
Gameshow Host,190,31,273,79.05719015,3.755059423
Donny,189,41,226,100.9941928,0.317857788
Dr. Swanson,189,32,236,95.20206101,1.447829034
Caleb Thorn,189,20,238,90.70991667,2.954759259
Mitch,188,26,254,85.19576923,3.172553191
Dean Bobby Peterson,188,21,250,85.24833333,3.592917933
Roz,188,30,240,92.47433333,1.917829787
Mitchell,187,49,236,96.19351413,0.790345957
Lucille Botzcowski,187,36,223,100.6760079,0.507491087
Delivery Man,187,29,252,86.28358289,2.826431864
Jenda,187,31,238,93.03953079,1.780762463
Rachel Jordan,187,31,238,93.03953079,1.780762463
Doug,186,33,248,88.31409091,2.341515152
Miss Crowley,186,40,291,69.75718548,4.684790323
Grant Connor,186,21,242,87.77403226,3.216973886
Amber Dempsey,186,40,221,101.5958952,0.243930108
Dealer,185,35,227,97.66351351,0.95034749
TEN-YEAR-OLD MARGE,183,32,226,96.55178023,1.212990096
Scott Christian,183,20,281,67.64283197,6.097625683
Professor Lombardo,183,31,250,85.26945531,2.832476644
JOHNNY,182,34,232,93.56000646,1.539405301
Dan Hoard,182,37,224,97.71922037,0.851455301
Vendor,181,47,233,94.02119784,1.101970142
Portia,180,25,241,86.257,3.016888889
Delroy,180,26,226,93.58807692,1.925555556
Minister,180,27,239,87.73833333,2.677777778
Steve Mobbs,180,30,240,87.945,2.483333333
Fbi Agent #1,180,34,243,87.25147059,2.404705882
Bum,179,30,222,95.85592831,1.371636872
Brad,179,28,229,92.11496508,1.999303671
Cregg Demon,179,29,229,92.33871508,1.913330765
Michael Buffer,178,20,273,68.04981461,5.978752809
Don Vitorio,178,32,222,95.67670295,1.296228933
Colonel Burns,178,28,214,98.67238764,1.075802568
Waitress,177,26,227,91.42688722,2.198333333
Munchie,177,32,226,93.20044227,1.633854167
Mother Superior,177,26,237,86.64722621,2.865
KLAUS ZIEGLER,176,26,235,87.0040035,2.805681818
GRETCHEN,176,42,228,92.98621212,1.330649351
Mickey Rooney,176,24,238,84.98939394,3.226818182
TRENT,176,25,226,91.05530909,2.307872727
Samantha Stanky,175,30,227,91.17588095,1.991285714
Gabbo,175,41,222,95.18154007,1.043777003
Richard Gere,175,26,243,82.53012637,3.420142857
Janet Reno,174,27,261,73.39388889,4.623333333
HARV,174,25,242,82.10853103,3.535894253
Herman Millwood,174,22,246,79.20037618,4.177304075
Guide,174,21,218,92.43189655,2.425336617
D.J.,174,16,245,76.67618534,5.266192529
Nikki McKenna,174,39,216,97.28584881,0.798275862
Astrid Weller,173,24,245,79.70929311,3.932232659
David,172,25,208,97.54482326,1.362967442
Bernice Hibbert,172,27,211,96.58651593,1.37002584
Moezekiel,172,19,209,94.84774174,2.278898409
Announcer #1,172,23,236,83.16549545,3.517219414
BEA,172,27,220,92.15977175,1.9874677
Dr. Velimirovic,172,34,209,98.90145691,0.721313269
Ms. Juniper,172,25,224,89.67505581,2.46064186
Dennis Conroy,171,31,228,88.43612903,2.294623656
Photographer,171,35,223,91.54968421,1.703732665
Teenage Lisa,171,28,217,93.27835526,1.76605472
Orderly,170,33,216,94.11444742,1.412032086
Seth,170,22,222,88.51417112,2.833048128
Neil,170,28,228,87.20897059,2.603739496
David Byrne,170,17,227,83.71911765,4.066470588
Lugash,170,35,217,93.91558824,1.366638655
Royce,170,27,234,83.99484749,3.107908497
Number 2,169,28,217,92.08034763,1.915407861
HELEN,168,23,218,89.64251553,2.570600414
Dr. Wolfe,167,23,226,84.97659464,3.210601406
THE REAL WALT,166,24,195,100.4350653,0.968945783
Psychiatrist,166,27,237,79.81029228,3.65476573
Angel,166,28,215,91.24521084,2.005275387
Barry White,165,28,204,96.25738636,1.297305195
Todd Linux,164,21,209,91.0949187,2.493519164
Moderator,164,15,218,83.28156911,4.359365854
Bart's Thoughts,164,32,202,97.43068598,0.942896341
Jebediah Springfield,163,23,202,94.80002134,1.797225927
Janitor,163,21,197,96.7100409,1.69849255
Mr. Costington,163,27,200,96.90372643,1.242972052
Townspeople,163,58,206,97.06470859,0.418917918
Freddy,162,36,194,100.9563889,0.295864198
Lucy Lawless,162,32,208,93.07434028,1.534992284
TOM,162,31,202,96.04191756,1.161644763
Joe Laboot,162,25,199,96.33557778,1.432261728
Fat In The Hat,162,20,191,98.86905556,1.481345679
Captain Tenille,161,31,202,95.41944901,1.240452815
Shelby,161,27,198,96.74035657,1.247356798
ROBOT WARS ANNOUNCER #1,161,22,206,91.16108272,2.362227555
Robot,161,43,240,76.92284992,3.46029467
Leavelle,161,29,216,87.69937888,2.406228314
Alcatraaaz,160,20,204,90.85,2.575
Commissioner,158,20,211,85.83801899,3.249227848
Dr. Babcock,158,22,231,75.85811277,4.462807825
Little Boy,158,27,195,96.48397797,1.255513361
Mr. Toohey,157,24,212,85.95826566,2.895007962
Foreman,157,32,200,94.08445561,1.355284634
Worker,157,28,200,93.37304936,1.628632848
TRUDY ZENGLER,157,22,210,86.43235524,2.976621309
Tom Brokaw,156,22,240,69.48388112,5.329300699
Mrs. Bellamy,156,19,197,91.6667004,2.513387314
SAMMY HAGAR,156,18,199,90.11910256,2.842564103
Kitenge,156,41,204,92.34227955,1.32467167
Professor,155,19,214,81.7521562,3.883191851
Mr. Black,155,21,207,86.36139785,3.047281106
Teller,155,40,185,101.9276815,0.005120968
GARABEDIAN,155,20,189,95.81133065,1.820887097
Drill Sergeant,155,14,216,77.70330645,5.171728111
Golem,155,29,193,96.06935484,1.187385984
Chef Naziwa,154,34,199,92.91686784,1.424522536
KAMALA,154,21,194,92.81764069,2.134935065
Officer Krackney,154,25,203,89.06441818,2.366945455
Ron Finkelsteinberg,154,24,226,76.16883658,4.229383117
Southern Rv-er,153,7,234,55.26176471,10.98134454
